Fabric Name,Fabric #,Style #'s
Off-white floral ggt,2015,"15028, 15025"
Red floral ggt,2050,"15027, 13042"
Red and black Zebra print georgette,2008,"15026, 14052"
Mint green bubble crepe,1046,15022
 Beige Leopard print satin ,1045,15021
 Turquoise Green Vichitra silk,6012,"15020, 13072"
Purple Plain Georgette ,2041,"15019, 10512"
Navy floral net,4013,"15017, 10940, 10804, 19703"
Solid red crepe ,3013,"15016, 14070, 13057, 12042, 11182, 11142, 19179, 19055, 19346, 19419"
Teal moss crepe,4008,"15012, 12048"
Turquoise-green Noritake silk,6014,15011
Blue-grey abstract print ggt,2046,"15010, 14071"
Mint green floral georgette,2006,"15009, 14039, 19305"
Cream Burfi,6005,15007
Sea- green  moss crepe,4001,"15006, 13027, 19747"
Baby pink Noritake silk,6007,15002
Peach solid color moss crepe,4002,"14098, 12041"
Navy-yellow floral ggt,2029,"14096, 14076"
Black schiffli,3027,14093
Mint green floral print georgette,2009,"14092, 14017, 14014, 14012"
Black small houndstooth wool,6024,"14091, 14088"
Black-white Houndstooth wool,6025,"14090, 14086"
Brown big plaid wool,6023,14089
Black Nep wool,6022,14087
Solid mustard crepe ,3005,"14084, 12052, 12051, 11147, 19727, 19749, 12086"
Orange floral print georgette,2010,"14083, 14038, 13059, 13055, 19746"
Mustard floral ggt,2031,14082
Black-white floral ggt,2013,14081
Red floral print ggt,2022,"14080, 14077"
Metallic Noritake silk ,6001,"14079, 14045"
Black abstract print ggt,2021,"14075, 11188"
Mauve/burgundy leopard print ggt,2016,14074
Brown leopard print ggt,2020,14073
Purple geometric print ggt,2025,"14072, 19719"
Black-red floral crepe,1033,14069
Sky-blue and cream butta ggt,2026,"14068, 14065"
Black snake print ggt,2028,"14067, 14064"
Magenta moss crepe,4003,"14063, 13033, 19166"
Black moss crepe,4006,"14062, 14050, 12096, 12095, 12064, 12023, 19066, 19110, 19552, 19742, 19158"
Gray marble print crepe,1009,"14061, 12087, 19087"
Maroon schifli,3028,14060
Green schiffli,3026,"14059, 19352"
Teal pleated crepe,3032,14056
Magenta pleated crepe,3030,14055
Peach floral crepe,1003,"14046, 12088"
Black  print ggt,2030,14044
Magenta Plain Georgette ,2038,"14043, 13043, 19305"
Mint green swiss dot ggt,2024,14042
Solid white crepe ,3008,"14041, 14026, 12026, 11103, 19085, 19118, 19701, 17003, 15016, 11197, 11178, 11176, 11152, 11028, 18099, 19058, 19734, 19736, 19762"
Mustard pleated crepe,3033,"14040, 14084"
Brown animal print ggt,2001,"14033, 14029, 13076, 19745, 19255"
Lime green Barfi,6013,"14013, 14011"
Navy blue cotton(slub),3029,13084
Turquoise floral crepe,1026,"13082, 13075"
Mauve georgette ,2033,"13081, 13060"
Red big  floral print ggt,2027,"13079, 12022"
Pink polka ggt,2014,"13068, 13067, 13053"
Mint Green tie-dye georgette,2012,"13066, 12081"
Camelio print crepe,1004,"13065, 12005"
Gray heather moss crepe,4005,"13062, 19313"
Lavender moss crepe,4007,"13061, 13041"
Purple jersey,5043,13052
Wine jersey,5028,"13051, 11047, 13051, 13050, 11047"
Black  small floral crepe,1047,"13046, 13037, 13036"
Black- white check wool,6034,13040
Red-black check wool,6033,13039
Black wool,6026,13038
Yellow printed ggt,2018,13035
Bottle green moss crepe,4004,"13032, 12074"
Solid grey crepe ,3004,"13025, 19109, 19488"
Green rayon stripe print crepe,1037,13023
Black small polka crepe,1011,"13020, 13003, 13002, 19728, 17020"
Gray floral print rayon,1040,"13017, 12050"
Golden Satin,3048,13016
Black floral crepe,1000,"13014, 13008, 12039, 19712, 11106"
Multi stripe print ggt,2019,"13010, 13006, 19392"
Maroon satin,3021,"13000, 12010, 12009, 19743, 18028, 11189"
White crinkle rayon,3024,"12099, 12098, 11174, 11173"
Yellow floral print crepe,1008,12078
Black-white geometric box print crepe,1018,"12073, 17079"
Peach floral georgette,2007,12072
Black swiss dot ggt,2045,"12066, 19232"
Navy floral  crepe,1002,"12065, 11101, 19726, 19729, 19758"
Black small polka georgette,2002,"12061, 12033"
Rust polka crepe,1027,"12059, 12058"
Big black polka georgette,2000,"12057, 11190, 10807, 10988, 12060"
 Navy Multi print crepe,1007,"12056, 12047"
Mustard stripe crepe,1043,12037
White Plain Georgette ,2043,"12035, 11042"
Red big polka ggt,2003,12018
Mustard jersey,5032,"12016, 12016"
Burgundy swiss dot ggt,2032,12004
Maroon jersey,5034,11198
Olive jersey,5030,11195
Navy floral ggt,2062,11194
Solid light brown crepe ,3007,11162
Solid onion pink crepe,3016,11154
Solid orange crepe ,3002,"11118, 19720, 12047"
Black medium polka crepe,1012,"10988, 10923, 19261, 19320, 19418, 19176, 11121, 19711"
Navy green panel print crepe,9023,"18053, 19149"
Pink big polka cerpe,9033,"18073, 19474"
Wine floral crepe,9008,18076
Black multi polka ggt,2098,"18077, 19057"
Orange print satin,9026,18080
Green tropical print ggt,2096,"18081, 19311"
Mauve jersey,5037,"18083, 13052"
Green jerseyy,5058,18084
Orange jersey,5059,18085
Mehndi clr jersey,5057,18086
Green Black printed ggt,2094,"18089, 19307"
Bottle green harnaz,6068,"18090, 19098"
Navy & White polka ggt,2093,18093
Grey slub,9017,"18096, 19000, 19001, 19285, 19284"
Black Red polka crepe,9022,"18070, 18071"
Black & Mustard printed ggt,2092,"18078, 18079, 19314"
Black floral rivera  moss crepe,9020,"19002, 19158"
Brown polka crepe,9009,"19003, 19125, 19472, 19759"
Pink tesla,6082,19004
Peach floral rayon,9028,"18095, 19015"
Bottle green stripe crepe,9076,19006
Turquoise cotton slub,9016,"19007, 19008, 19026, 19266, 19274, 19284, 19285"
Powder blue floral ggt,2100,"19014, 19013"
Black & white rayon,9075,19017
Black haringbone,9067,19019
Yellow white stripe,9074,"19020, 19090, 19299, 19396, 19383"
Mint green pink floral crepe,9044,"19022, 19377"
Turquoise silk crepe,6083,"19035, 19036"
Navy big polka crepe,9069,"19027, 19469, 19330"
Green small polka crepe,9048,19028
 Multi geometric crepe,9066,19030
White & green print crepe,9030,19031
Black Green multi print crepe,9031,"19032, 19033"
Black & white cown print,9065,"19037, 19038, 19157, 19138"
Mustard leopard print crepe,9059,"19040, 19039, 19139"
Navy heart print crepe,9042,"19043, 19059"
Black paisley print crepe,9043,19044
Black heart print crepe,9037,"19045, 19560, 19064"
